text,keywords,k_count
"Нужно быстро посмотреть по Краткосрочные, итоговая сумма, ПЛАВАЮЩАЯ СТАВКА, по Вклады, в sme — что по цифрам?","SME | Вклады | Краткосрочные | Плавающая ставка | Сумма, млн ₽",5
"Вторичка + SME + в С господдержкой + в Кредиты + по Сумма, млн ₽ нужны сегодня, ок?","SME | Кредиты | Вторичка | С господдержкой | Сумма, млн ₽",5
пжлст проверь письмо — шуло?,,0
Нужно быстро посмотреть по Переводы физическим лицам — что по цифрам?,Переводы физическим лицам,1
"в retail + СУММА, МЛН ₽ нужны сегодня, ок?","Retail | Сумма, млн ₽",2
бРонь нА ЗавТРА поДтВЕрДишь?,,0
пжлст проверь письмо — ушло?,,0
Можно отчёт по на обычные + на межбанковские прямо сейчас?,Межбанковские | Обычные,2
Уточни по сумме и сверь.,"Сумма, млн ₽",1
Собери мне сколько операций и кинь.,Количество операций,1
Можно отчёт по в кредиты — corporate — количество операций — по Ипотека — первичка — в Без господдержки прямо сейчас?,Corporate | Кредиты | Ипотека | Первичка | Без господдержки | Количество операций,6
"Нужно быстро посмотреть в Первичка, на с господдержкой, для ипотека — что по цифрам?",Ипотека | Первичка | С господдержкой,3
"Проверь для сумма, млн ₽ / по Переводы юридическим лицам и отправь.","Переводы юридическим лицам | Сумма, млн ₽",2
"Запрос на цифры: потребкредиты — про онлайн — для сумма, млн ₽.","Потребкредиты | Онлайн | Сумма, млн ₽",3
По переводы — SME сделай выгрузку срочно!,SME | Переводы,2
А что у нас по Ипотека / на количество операций / С господдержкой / по Кредиты / Retail / Вторичк?,Retail | Кредиты | Ипотека | Вторичка | С господдержкой | Количество операций,6
Собери мне в переводы + переводы юридическим лицам + на corporate + по операциям + в Межбанковские и кинь.,Corporate | Переводы | Переводы юридическим лицам | Межбанковские | Количество операций,5
"Как дела? чайник кипит, вёс норм.",,0
Запрос на цифры: по До востребования.,До востребования,1
по sme; в межфилиальные; для срочные; в Количество операций; в переводы юридическим лицам; про переводы. Срочно пришли отчёт.,SME | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Количество операций,6
Уточни по Retail и сверь.,Retail,1
"Срочно по ПОТРЕБКРЕДИТЫ; для количество операций; ОНЛАЙН; по кредиты, плиз.",Кредиты | Потребкредиты | Онлайн | Количество операций,4
"Новые нужны сегодня, ок?",Новые,1
"По СРОЧНЫЕ / в Сумма, млн ₽ / в retail / по Переводы / Межфилиальные / переводы юридическим лицам сделай выгрузку срочно!","Retail | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Сумма, млн ₽",6
в С господдержкой; по кредиты; КОЛИЧЕСТВО ОПЕРАЦИЙ; ИПОТЕКА; на вторичка; на retail. Срочно пришли отчёт.,Retail | Кредиты | Ипотека | Вторичка | С господдержкой | Количество операций,6
пжлст проверь письмо —у шло?,,0
Уточни по Короткие + до востребования + по Плавающая ставка и сверь.,До востребования | Плавающая ставка | Короткие,3
СоЗВОн ПерЕнесЁМ на ПОзЖе?,,0
"Можно отчёт по в межбанковские; сумма, млн ₽; RETAIL прямо сейчас?","Retail | Межбанковские | Сумма, млн ₽",3
"Покажи, пж, retail / на сумма, млн ₽ / по переводы.","Retail | Переводы | Сумма, млн ₽",3
"По Вклады; плавающая ставка; Сумма, млн ₽ сделай выгрузку срочно!","Вклады | Плавающая ставка | Сумма, млн ₽",3
"Собери мне для retail / До востребования / в Сумма, млн ₽ и кинь.","Retail | До востребования | Сумма, млн ₽",3
кушал уже? пееррыв сделай.,,0
"По в Межфилиальные, про sme, Сумма, млн ₽ сделай выгрузку срочно!","SME | Межфилиальные | Сумма, млн ₽",3
"Можно отчёт по для сумма, млн ₽; про кредиты; в Ипотека; на вторичка; для с господдержкой прямо сейчас?","Кредиты | Ипотека | Вторичка | С господдержкой | Сумма, млн ₽",5
"Уточни про сумма, млн ₽ — в первичка и сверь.","Первичка | Сумма, млн ₽",2
Собери мне ПО СЧЕТАМ; по sme и кинь.,SME | По счетам,2
По сколько по сумме сделай выгрузку срочно!,"Сумма, млн ₽",1
Можно отчёт по Переводы физическим лицам / по Количество операций / на corporate / в По счетам прямо сейчас?,Corporate | Переводы физическим лицам | По счетам | Количество операций,4
Проверь на потребкредиты; по Онлайн и отправь.,Потребкредиты | Онлайн,2
"Покажи, пж, РЕФИНАНСИРОВАНИЕ / в Retail / Крдиты / по количество операций / про потребкредиты / для офлайн.",Retail | Кредиты | Потребкредиты | Офлайн | Рефинансирование | Количество операций,6
"Дай сводку: Retail, в переводы юридическим лицам, в Количество операций.",Retail | Переводы юридическим лицам | Количество операций,3
Проверь в corporate — по Кредиты — С продлением и отправь.,Corporate | Кредиты | С продлением,3
"Эй, по по переводы; количество операций где статистика?",Переводы | Количество операций,2
в Corporate; про переводы; для межбанковские; про количество операций; переводы юридическим лицам. Срочно пришли отчёт.,Corporate | Переводы | Переводы юридическим лицам | Межбанковские | Количество операций,5
Запрос на цифры: Вклады / RETAIL.,Retail | Вклады,2
бронь на завтра подтвердишь?,,0
Дай сводку: по переводы физическим лицам + для переводы + про количество операций + по Retail + межбанковские + ПО КАРТАМ.,Retail | Переводы | Переводы физическим лицам | Межбанковские | По картам | Количество операций,6
Можно отчёт по на corporate прямо сейчас?,Corporate,1
"Напомни: что видно по CORPORATE; СУММА, МЛН ₽; на переводы; МЕЖБАНКОВСКИЕ; переводы физическим лицам?","Corporate | Переводы | Переводы физическим лицам | Межбанковские | Сумма, млн ₽",5
"Проверь про сумма, млн ₽ и отправь.","Сумма, млн ₽",1
"А что у нас по по Кредиты, для retail, в новые?",Retail | Кредиты | Новые,3
"Док кину вчером, не забудь.",,0
А что у нас по в Количество операций + До востребования + на sme + ФИКСИРОВАННАЯ СТАВКА + в Короткие + в Вклады?,SME | Вклады | До востребования | Фиксированная ставка | Короткие | Количество операций,6
"про sme / Сумма, млн ₽. Срочно пришли отчёт.","SME | Сумма, млн ₽",2
Проверь по сумме + перЕВоды юрИдИЧЕским лИцАм + в переводы + в SME + в Срочные + межфилиальные и отправь.,"SME | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Сумма, млн ₽",6
пжлст проверь письмо — ушол?,,0
Проверь в На год + по сумме + в без продления + в Кредиты и отправь.,"Кредиты | На год | Без продления | Сумма, млн ₽",4
По для межбанковские; по По счетам сделай выгрузку срочно!,Межбанковские | По счетам,2
"Срочно по про сумма, млн ₽; в SME; для вклады, плиз.","SME | Вклады | Сумма, млн ₽",3
кушал уж? перерыв сделай.,,0
"Можно отчёт по по До востребования / Вклады / в Corporate / по сумма, млн ₽ прямо сейчас?","Corporate | Вклады | До востребования | Сумма, млн ₽",4
"погОДа так сеБе, дождЬ моросиТ.",,0
Можно отчёт по по Corporate; для кредиты прямо сейчас?,Corporate | Кредиты,2
"Проверь в Переводы, срочные, СУММА, МЛН ₽, в Переводы юридическим лицам, Retail и отправь.","Retail | Переводы | Переводы юридическим лицам | Срочные | Сумма, млн ₽",5
сОзвон ПЕренеСём нА поЗжЕ?,,0
"Можно отчёт по в Кредиты — про retail — по первичка — Ипотека — Сумма, млн ₽ прямо сейчас?","Retail | Кредиты | Ипотека | Первичка | Сумма, млн ₽",5
"Док кин увечером, не забудь.",,0
Уточни Без господдержки и сверь.,Без господдержки,1
Можно отчёт по по Фиксированная ставка прямо сейчас?,Фиксированная ставка,1
"Дай сводку: про corporate; на сумма, млн ₽; по кредиты.","Corporate | Кредиты | Сумма, млн ₽",3
"в Вторичка + по сумма, млн ₽ + по без господдержки + retail + ипотека + кредИТы нужны сегодня, ок?","Retail | Кредиты | Ипотека | Вторичка | Без господдержки | Сумма, млн ₽",6
По Переводы сделай выгрузку срочно!,Переводы,1
"А что у нас по КРЕДИТЫ, ИПОТЕКА, Retail, по операциям?",Retail | Кредиты | Ипотека | Количество операций,4
"Дай сводку: по краткосрочные — в Сумма, млн ₽ — по Вклады — в Плавающая ставка — в sme.","SME | Вклады | Краткосрочные | Плавающая ставка | Сумма, млн ₽",5
"Дай сводку: про retail, в Краткосрочные, на короткие, сколько по сумме, по плавающая ставка, в Вклады.","Retail | Вклады | Краткосрочные | Плавающая ставка | Короткие | Сумма, млн ₽",6
Можно отчёт по Офлайн; в Потребкредиты; на corporate прямо сейчас?,Corporate | Потребкредиты | Офлайн,3
по corporate / на переводы / в Количество операций. Срочно пришли отчёт.,Corporate | Переводы | Количество операций,3
"Дай сводку: ВКЛАДЫ / для сумма, млн ₽ / в corporate.","Corporate | Вклады | Сумма, млн ₽",3
Напомни: что видно по Срочные?,Срочные,1
"Напомни: что видно по про плавающая ставка, ДЛИННЫЕ?",Плавающая ставка | Длинные,2
Нужно быстро посмотреть RETAIL + по переводы юридическим лицам + на межбанковские — что по цифрам?,Retail | Переводы юридическим лицам | Межбанковские,3
"Срочно по по Переводы физическим лицам; reTAIL, плиз.",Retail | Переводы физическим лицам,2
БРоНЬ На заВТрА подТвердишЬ?,,0
"Уточни для переводы, обычные, МЕЖФИЛИАЛЬНЫЕ, на переводы юридическим лицам, в сумма, млн ₽, retail и сверь.","Retail | Переводы | Переводы юридическим лицам | Межфилиальные | Обычные | Сумма, млн ₽",6
Запрос на цифры: по операциям.,Количество операций,1
Нужно быстро посмотреть retail; в Потребкредиты — что по цифрам?,Retail | Потребкредиты,2
"Срочно по для с продлением — по corporate — НА ТРИ ГОДА — по кредиты — в сумма, млн ₽ — по Агентские обязательства, плиз.","Corporate | Кредиты | Агентские обязательства | На три года | С продлением | Сумма, млн ₽",6
"Как дела? чайник кипит, всён орм.",,0
"ВКЛАДЫ — по краткосрочные — в corporate — Сумма, млн ₽ нужны сегодня, ок?","Corporate | Вклады | Краткосрочные | Сумма, млн ₽",4
А что у нас по RETAIL; Переводы физическим лицам; для межбанковские; по операциям; по по картам; по переводы?,Retail | Переводы | Переводы физическим лицам | Межбанковские | По картам | Количество операций,6
Проверь КОРОТКИЕ + краткосрочные + для corporate + про фиксированная ставка + количество операций + по Вклады и отправь.,Corporate | Вклады | Краткосрочные | Фиксированная ставка | Короткие | Количество операций,6
"Срочно по в Переводы + на межфилиальные + сумма, млн ₽ + на обычные + ПЕРЕВОДЫ ЮРИДИЧЕСКИМ ЛИЦАМ + по SME, плиз.","SME | Переводы | Переводы юридическим лицам | Межфилиальные | Обычные | Сумма, млн ₽",6
Можно отчёт по в по счетам прямо сейчас?,По счетам,1
"Можно отчёт по retail, Потребкредиты, про кредиты, для новые, на количество операций прямо сейчас?",Retail | Кредиты | Потребкредиты | Новые | Количество операций,5
Уточни для вклады + краткосрочные + про sme и сверь.,SME | Вклады | Краткосрочные,3
Проверь на агентские + на кредиты + итоговая сумма + по Corporate и отправь.,"Corporate | Кредиты | Агентские | Сумма, млн ₽",4
"по агентские — КРЕДИТЫ — по Договоры — Corporate — в Сумма, млн ₽. Срочно пришли отчёт.","Corporate | Кредиты | Агентские | Договоры | Сумма, млн ₽",5
"Нужно быстро посмотреть в сумма, млн ₽ + по счетам + в переводы + для переводы физическим лицам — что по цифрам?","Переводы | Переводы физическим лицам | По счетам | Сумма, млн ₽",4
Можно отчёт по Вклады — по Короткие прямо сейчас?,Вклады | Короткие,2
Напомни: что видно по про короткие?,Короткие,1
"Переводы юридическим лицам нужны сегодня, ок?",Переводы юридическим лицам,1
"Срочно по на retail; на вклады; на короткие; СУММА, МЛН ₽, плиз.","Retail | Вклады | Короткие | Сумма, млн ₽",4
"Погода так сееб, дождь моросит.",,0
Запрос на цифры: в Corporate / на вклады.,Corporate | Вклады,2
"Док кин вечером, не забудь.",,0
Нужно быстро посмотреть в Вклады; на фиксированная ставка; сколько операций; КРАТКОСРОЧНЫЕ; по Короткие; про retail — что по цифрам?,Retail | Вклады | Краткосрочные | Фиксированная ставка | Короткие | Количество операций,6
"Проверь Межбанковские, Retail, в Переводы физическим лицам, по Переводы, количество операций, про по картам и отправь.",Retail | Переводы | Переводы физическим лицам | Межбанковские | По картам | Количество операций,6
"Срочно по ВТОРИЧКА; в Сумма, млн ₽, плиз.","Вторичка | Сумма, млн ₽",2
"Срочно по в вклады — в Retail — по сумма, млн ₽, плиз.","Retail | Вклады | Сумма, млн ₽",3
Собери мне Corporate — в Без господдержки — для кредиты — по количество операций — про ипотека и кинь.,Corporate | Кредиты | Ипотека | Без господдержки | Количество операций,5
Уточни краткосрочные и сверь.,Краткосрочные,1
"по SME нужны сегодня, ок?",SME,1
По на переводы сделай выгрузку срочно!,Переводы,1
"Собери мне CORPORATE, в первичка, для с господдержкой, кредиты, по сумма, млн ₽ и кинь.","Corporate | Кредиты | Первичка | С господдержкой | Сумма, млн ₽",5
"ОНЛАЙН, на retail, в Кредиты. Срочно пришли отчёт.",Retail | Кредиты | Онлайн,3
"Собери мне до востребования / по sme / в Вклады / для сумма, млн ₽ и кинь.","SME | Вклады | До востребования | Сумма, млн ₽",4
Напомни: что видно по для короткие + ВКЛАДЫ + про количество операций?,Вклады | Короткие | Количество операций,3
"А что у нас по по плавающая ставка / ВКЛАДЫ / по corporate / по Сумма, млн ₽ / на короткие?","Corporate | Вклады | Плавающая ставка | Короткие | Сумма, млн ₽",5
Запрос на цифры: для по картам + в Внутри компании + итоговая сумма + Retail + Переводы.,"Retail | Переводы | Внутри компании | По картам | Сумма, млн ₽",5
почему интернет лагает опять?,,0
Где презентаця вчерашняя лежит?,,0
Напомни: что видно по про переводы; межфилиальные; для срочные?,Переводы | Межфилиальные | Срочные,3
пжлст проверь письмо — шло?,,0
"Срочно по переводы; corporate, плиз.",Corporate | Переводы,2
"Док кину вечером, не забуьд.",,0
"ИПОТЕКА; по Кредиты; для сумма, млн ₽. Срочно пришли отчёт.","Кредиты | Ипотека | Сумма, млн ₽",3
А что у нас по Corporate + ПОТРЕБКРЕДИТЫ + в Кредиты?,Corporate | Кредиты | Потребкредиты,3
"по Сумма, млн ₽, в до востребования, ДЛИННЫЕ, Вклады, для retail, Плавающая ставка. Срочно пришли отчёт.","Retail | Вклады | До востребования | Плавающая ставка | Длинные | Сумма, млн ₽",6
"Нужно быстро посмотреть по ипотека, первичка, CORPORATE, сумма, млн ₽ — что по цифрам?","Corporate | Ипотека | Первичка | Сумма, млн ₽",4
Запрос на цифры: обычные + SME + для межбанковские + в количество операций + для переводы юридическим лицам + ПЕРЕВОДЫ.,SME | Переводы | Переводы юридическим лицам | Межбанковские | Обычные | Количество операций,6
"Эй, по на длинные + Краткосрочные + про sme + на количество операций + в плавающая ставка где статистика?",SME | Краткосрочные | Плавающая ставка | Длинные | Количество операций,5
пжлстп роверь письмо — ушло?,,0
"Можно отчёт по для переводы; Сумма, млн ₽; По счетам; по внутри компании прямо сейчас?","Переводы | Внутри компании | По счетам | Сумма, млн ₽",4
"Дай сводку: по Сумма, млн ₽; по вклады; SME; до востребования; на фиксированная ставка; для короткие.","SME | Вклады | До востребования | Фиксированная ставка | Короткие | Сумма, млн ₽",6
"по Плавающая ставка нужны сегодня, ок?",Плавающая ставка,1
Уточни в До востребования; на фиксированная ставка; по количество операций и сверь.,До востребования | Фиксированная ставка | Количество операций,3
бронь на завтра подтвердшь?,,0
ПжЛст пРОвеРЬ письмо — ушло?,,0
Нужно быстро посмотреть SME; по до востребования — что по цифрам?,SME | До востребования,2
Проверь количество операций + про retail + Переводы физическим лицам и отправь.,Retail | Переводы физическим лицам | Количество операций,3
Запрос на цифры: по Офлайн / для кредиты / по Потребкредиты / в Рефинансирование / на corporate / по операциям.,Corporate | Кредиты | Потребкредиты | Офлайн | Рефинансирование | Количество операций,6
"А что у нас по в переводы, на sme?",SME | Переводы,2
в Плавающая ставка — Краткосрочные — для короткие — кол-во операций. Срочно пришли отчёт.,Краткосрочные | Плавающая ставка | Короткие | Количество операций,4
А что у нас по по кредиты + для retail + количество операций + Офлайн?,Retail | Кредиты | Офлайн | Количество операций,4
пжлст проверь письом — ушло?,,0
Напомни: что видно по сколько операций / в Краткосрочные / на corporate / Вклады?,Corporate | Вклады | Краткосрочные | Количество операций,4
Напомни: что видно по на краткосрочные — в corporate — по Длинные — про плавающая ставка?,Corporate | Краткосрочные | Плавающая ставка | Длинные,4
"Покажи, пж, По картам.",По картам,1
"По ВНУТРИ КОМПАНИИ, в переводы, СУММА, МЛН ₽ сделай выгрузку срочно!","Переводы | Внутри компании | Сумма, млн ₽",3
"Как дела? чайник кипит, всё онрм.",,0
"Нужно быстро посмотреть СУММА, МЛН ₽ + на фиксированная ставка + длинные — что по цифрам?","Фиксированная ставка | Длинные | Сумма, млн ₽",3
"Проверь на sme, в Переводы и отправь.",SME | Переводы,2
"Проверь для sme / на краткосрочные / в короткие / на сумма, млн ₽ / вклады / ПЛАВАЮЩАЯ СТАВКА и отправь.","SME | Вклады | Краткосрочные | Плавающая ставка | Короткие | Сумма, млн ₽",6
"По Переводы / переводы юридическим лицам / в межбанковские / corporate / для сумма, млн ₽ / для обычные сделай выгрузку срочно!","Corporate | Переводы | Переводы юридическим лицам | Межбанковские | Обычные | Сумма, млн ₽",6
"Проверь в Потребкредиты, CORPORATE, Кредиты и отправь.",Corporate | Кредиты | Потребкредиты,3
"Можно отчёт по сУММа, мЛн ₽ прямо сейчас?","Сумма, млн ₽",1
Запрос на цифры: по Retail + в С господдержкой.,Retail | С господдержкой,2
"Срочно по в межбанковские + для sme + на количество операций + в переводы физическим лицам + для переводы, плиз.",SME | Переводы | Переводы физическим лицам | Межбанковские | Количество операций,5
"По на кредиты + по ипотека + сумма, млн ₽ + ПЕРВИЧКА + про без господдержки + для retail сделай выгрузку срочно!","Retail | Кредиты | Ипотека | Первичка | Без господдержки | Сумма, млн ₽",6
Собери мне по Короткие — в Фиксированная ставка — про вклады — про краткосрочные — для corporate и кинь.,Corporate | Вклады | Краткосрочные | Фиксированная ставка | Короткие,5
"Эй, по на по картам, в Переводы физическим лицам, на межбанковские где статистика?",Переводы физическим лицам | Межбанковские | По картам,3
межбАнкОВскиЕ. Срочно пришли отчёт.,Межбанковские,1
"Дай сводку: по кредиты, про количество операций.",Кредиты | Количество операций,2
"Дай сводку: CORPORATE — на сумма, млн ₽ — Краткосрчные — в Короткие.","Corporate | Краткосрочные | Короткие | Сумма, млн ₽",4
"Уточни по Переводы — про сумма, млн ₽ — про внутри компании — по Переводы физическим лицам и сверь.","Переводы | Переводы физическим лицам | Внутри компании | Сумма, млн ₽",4
Нужно быстро посмотреть по количество операций; по corporate — что по цифрам?,Corporate | Количество операций,2
Напомни: что видно по по На три года + про кредиты + на агентские обязательства + Количество операций + в corporate?,Corporate | Кредиты | Агентские обязательства | На три года | Количество операций,5
"Количество операций / corporate / на соглашения нужны сегодня, ок?",Corporate | Соглашения | Количество операций,3
"Погода так себе, доджь моросит.",,0
по Вклады — в Фиксированная ставка — по SME — про длинные — количество операций. Срочно пришли отчёт.,SME | Вклады | Фиксированная ставка | Длинные | Количество операций,5
Собери мне Межфилиальные — в переводы — по Количество операций — ОБЫЧНЫЕ — reTAiL — ПЕРЕВОДЫ ЮРИДИЧЕСКИМ ЛИЦАМ и кинь.,Retail | Переводы | Переводы юридическим лицам | Межфилиальные | Обычные | Количество операций,6
"RETAIL + новые + для онлайн + потребкредиты + количество операций + для кредиты нужны сегодня, ок?",Retail | Кредиты | Потребкредиты | Онлайн | Новые | Количество операций,6
пОчЕмУ инТеРнет ЛагАЕт опять?,,0
